identificador,titulo,gratuito,fecha_inicio,fecha_fin,url,actividad,lugar,lat,lng,tipo
10063793,Arima Teatro de marionetas. Grecia. La receta de la Felicidad,1,1471644000,1471730340,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0e2726d208594510VgnVCM1000001d4a900aRCRD,Arima Teatro de marionetas. Grecia. La receta de la Felicidad,Teatro Municipal de Títeres de El Retiro al Aire Libre,40.41878362561595,-3.6866519471003647,Cuentacuentos Titeres Marionetas
10077145,Arquitectura emocional,1,1464732000,1474235940,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0d0b840c991f4510VgnVCM2000001f4a900aRCRD,Arquitectura emocional,CentroCentro Cibeles de Cultura y Ciudadanía,40.419011767401095,-3.692206111679657,Programacion Destacada Agenda Cultura
10079229,Atlas de iniciativas vecinales,1,1442440800,1483225140,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=330f34de09105510VgnVCM1000001d4a900aRCRD,Atlas de iniciativas vecinales,Intermediae Matadero Madrid,40.39241367848808,-3.697259467865366,Programacion Destacada Agenda Cultura
10095556,Atrapa la bandera,1,1472248800,1472335140,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8813f33dadc65510VgnVCM2000001f4a900aRCRD,Cine de verano. San Blas,Centro Cultural Auditorio Parque El Paraíso (San Blas - Canillejas),40.42996840999023,-3.622184001035289,Cine Actividades Audiovisuales
10098697,Atrapa la bandera,1,1470952800,1471039140,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7ca5a94194d75510VgnVCM1000001d4a900aRCRD,Cine de verano infantil. Villa de Vallecas,Auditorio Municipal Villa de Vallecas,40.38024511523154,-3.6175442000640565,Cine Actividades Audiovisuales
10009287,Bach baila el tango,0,1477173600,1477259940,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ef4fb69435153510VgnVCM1000001d4a900aRCRD,Bach baila el tango,CentroCentro Cibeles de Cultura y Ciudadanía,40.419011767401095,-3.692206111679657,Musica
10108668,Batman Vs Superman: el amanecer de la justicia,0,1471039200,1471125540,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=67cf18570f3e5510VgnVCM2000001f4a900aRCRD,Cine en el parque de la Bombilla. Sábado 13 de agosto,Parque de la Bombilla,40.42834456035844,-3.728941931668392,Cine Actividades Audiovisuales
10095563,Birdman,1,1472767200,1472853540,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5f93f33dadc65510VgnVCM2000001f4a900aRCRD,Cine de verano. San Blas,Centro Cultural Auditorio Parque El Paraíso (San Blas - Canillejas),40.42996840999023,-3.622184001035289,Cine Actividades Audiovisuales
10094350,Block Party (BMX & Hip hop),1,1471816800,1471903140,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8947334316d55510VgnVCM2000001f4a900aRCRD,Block Party (BMX & Hip Hop),Jardines del Descubrimiento,40.42518540300912,-3.6887800207651495,Musica/ Rap Hip Hop
10112335,"Calixta y Nicanor, cuentos al por mayor",1,1471039200,1471125540,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c1ca0c7326706510VgnVCM2000001f4a900aRCRD,Actividades infantiles en verano 2016. Distrito de Villaverde,Parque Huerta del Obispo (Villaverde),40.346980092315505,-3.712145719392749,Actividades Calle Arte Urbano
7807488,Cambiando La Torre.  Graffitti con Stefano.,1,1473976800,1474063140,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d6696e012cc5a410VgnVCM2000000c205a0aRCRD,Actividades en el centro juvenil 'Carabanchel Alto'. Septiembre 2016,Centro Juvenil Carabanchel Alto,40.366822704148795,-3.755451103709316,Cursos Talleres/ Literatura
10075115,Campamentos urbanos verano 2016. Distrito de Usera,0,1467324000,1472680740,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b71bfb4ac98e4510VgnVCM2000001f4a900aRCRD,Campamentos urbanos verano 2016. Distrito de Usera,Junta Municipal del Distrito de Usera,40.38241253009179,-3.7107515747822353,Campamentos
10116819,"Caperucita Roja, el musical",0,1474754400,1474840740,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=00d9f46f2c546510VgnVCM2000001f4a900aRCRD,"Caperucita Roja, el musical",Centro Cultural Sanchinarro (Hortaleza),40.49035310157377,-3.655261744717257,Cuentacuentos Titeres Marionetas
10089207,Capital Animal. Humoristas gráficos del IQh,1,1466028000,1473631140,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b3d28e865a535510VgnVCM2000001f4a900aRCRD,Capital Animal. Humoristas gráficos del IQh,CentroCentro Cibeles de Cultura y Ciudadanía,40.419011767401095,-3.692206111679657,Exposiciones
10109112,Capitán América: Civil War,0,1470348000,1470434340,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=cb5ee821b78e5510VgnVCM1000001d4a900aRCRD,Cine en el parque de la Bombilla. Viernes 5 de agosto,Parque de la Bombilla,40.42834456035844,-3.728941931668392,Cine Actividades Audiovisuales
10108510,Capitán América: Civil War,0,1470520800,1470607140,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9e5bca462c3e5510VgnVCM2000001f4a900aRCRD,Cine en el parque de la Bombilla. Domingo 7 de agosto,Parque de la Bombilla,40.42834456035844,-3.728941931668392,Cine Actividades Audiovisuales
10098700,Carlitos y Snoopy,1,1471557600,1471643940,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8ec5a94194d75510VgnVCM1000001d4a900aRCRD,Cine de verano infantil. Villa de Vallecas,Auditorio Municipal Villa de Vallecas,40.38024511523154,-3.6175442000640565,Cine Actividades Audiovisuales
10109121,Carlitos y Snoopy: la película de Peanuts,0,1470348000,1470434340,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ce3fe821b78e5510VgnVCM1000001d4a900aRCRD,Cine en el parque de la Bombilla. Viernes 5 de agosto,Parque de la Bombilla,40.42834456035844,-3.728941931668392,Cine Actividades Audiovisuales
10107570,Cegados por el sol,0,1473285600,1473371940,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=3d438bb94ddd5510VgnVCM2000001f4a900aRCRD,Cine de verano 2016. XX Festival de Ciudad Lineal,Auditorio al aire libre. Parque del Calero,40.43629048801827,-3.6504213176387332,Cine Actividades Audiovisuales
10104025,Certamen de Teatro San Blas-Canillejas ¡A Escena!,0,1474668000,1474840740,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f71fcda101ab5510VgnVCM1000001d4a900aRCRD,Certamen de Teatro San Blas-Canillejas ¡A Escena!,Centro Cultural Antonio Machado (San Blas - Canillejas),40.42027705095574,-3.621741078700336,Circo Performance Teatro
10104702,Cibeles de Cine,0,1468447200,1473371940,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ac6df9b9d1fb5510VgnVCM1000001d4a900aRCRD,Cibeles de Cine,Galeria de Cristal del Palacio de Cibeles,40.418291440980205,-3.69213979278398,Programacion Destacada Agenda Cultura
10107164,Cien años de perdón,0,1471730400,1471816740,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0839515cd39d5510VgnVCM1000001d4a900aRCRD,Cine de verano 2016. XX Festival de Ciudad Lineal,Auditorio al aire libre. Parque del Calero,40.43629048801827,-3.6504213176387332,Cine Actividades Audiovisuales
10116821,Ciudad sin sueño,1,1474581600,1474667940,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fa7b1cd8fb546510VgnVCM1000001d4a900aRCRD,Programa de actividades en el Centro Socio Cultural Almirante Churruca (Latina),Centro Cultural Almirante Churruca (Latina),40.3829835905706,-3.7800890564106613,Cine Actividades Audiovisuales
10116802,Clòset,1,1475186400,1475272740,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b18a1cd8fb546510VgnVCM1000001d4a900aRCRD,Programa de actividades en el Centro Cultural San José de Calasanz (Latina),Centro Sociocultural San José de Calasanz (Latina),40.40647389284976,-3.7327010920242043,Cine Actividades Audiovisuales
10106170,Colectivo Arte en la Calle,1,1470002400,1472680740,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=056b84fcb09c5510VgnVCM1000001d4a900aRCRD,Colectivo Arte en la Calle,Centro Cultural Buenavista (Salamanca),40.43200210571468,-3.6709293330780204,Exposiciones
10108602,Coloquio con directores y/o actores de 'Hablar',0,1470780000,1470866340,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9de918570f3e5510VgnVCM2000001f4a900aRCRD,Cine en el parque de la Bombilla. Miércoles 10 de agosto,Parque de la Bombilla,40.42834456035844,-3.728941931668392,Cine Actividades Audiovisuales
10095393,Como entrenar a tu dragón 2,1,1474063200,1474149540,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=aae2d8f058c65510VgnVCM1000001d4a900aRCRD,Cine de verano 2016. Moratalaz,Parque de la Cuña Verde de O´Donnell,40.41220177650095,-3.628985975935673,Cine Actividades Audiovisuales
10017656,Concierto de HIP HOP,1,1474063200,1474149540,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1c1c304144f73510VgnVCM2000001f4a900aRCRD,Actividades en el centro juvenil 'El sitio de mi recreo (Villa de Vallecas). Septiembre 2016,Centro Juvenil El Sitio de mi Recreo (Villa de Vallecas),40.37953682427198,-3.616901585603186,Musica/ Rock Pop
10116426,"Concierto de Jazz, Encuentros culturales portugalete",1,1475186400,1475272740,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ab75149cf8636510VgnVCM2000001f4a900aRCRD,Actividades. Centro Cultural Carril del Conde (Hortaleza). Septiembre 2016,Centro Cultural Carril del Conde (Hortaleza),40.46088953531134,-3.6544210187969433,Musica
10117491,Concierto de Jazz: Ileana Quarter,1,1471557600,1471643940,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6d8686d412b46510VgnVCM2000001f4a900aRCRD,Programación de verano,Auditorio al aire libre. Parque de la Vaguada,40.48016602497203,-3.7112978051427574,Musica/ Jazz Soul Funky Swing Reagge
10117489,Concierto de Jazz: Ileana Quartet,1,1471644000,1471730340,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=019686d412b46510VgnVCM2000001f4a900aRCRD,Programación de verano,Parque del Pueblo del Pardo,40.5186002228516,-3.7753787533567573,Musica/ Jazz Soul Funky Swing Reagge
10117488,Concierto de Jazz: Three Cuban Jazz,1,1470434400,1470520740,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=349686d412b46510VgnVCM2000001f4a900aRCRD,Programación de verano,Parque del Pueblo del Pardo,40.5186002228516,-3.7753787533567573,Musica/ Jazz Soul Funky Swing Reagge
10117490,Concierto de Jazz:Three Cuban Jazz,1,1470348000,1470434340,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=de8686d412b46510VgnVCM2000001f4a900aRCRD,Programación de verano,Auditorio al aire libre. Parque de la Vaguada,40.48016602497203,-3.7112978051427574,Musica/ Jazz Soul Funky Swing Reagge
10105857,Concierto. Banda de Albacete,0,1472940000,1473026340,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ce8d12f39b4c5510VgnVCM2000001f4a900aRCRD,Programa Conciertos al Aire Libre Banda Sinfónica. Templete del Retiro,Jardines de El Buen Retiro,40.41964087412762,-3.68793370943788,Musica/ Clasica
10115422,Concierto. Banda Sínfónica Municipal Madrid,1,1473544800,1473631140,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6e56cbb4c7036510VgnVCM1000001d4a900aRCRD,Programa Conciertos al Aire Libre Banda Sinfónica. Templete del Retiro,Jardines de El Buen Retiro,40.41964087412762,-3.68793370943788,Musica/ Clasica
10057328,Concierto: 'Un viaje musical muy animado',1,1474668000,1474754340,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fc622d1119574510VgnVCM2000001f4a900aRCRD,Programación cultural en Virgen de Begoña (Fuencarral - El Pardo),Parque Begoña,40.48390626699566,-3.687220746230517,Itinerarios Otras Actividades Ambientales
10057321,Concierto: 'Voz de mujeres' con la cantautora Mariela Casetta acompañada a la guitarra por Sergio Sleiman,1,1472853600,1472939940,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=46e12d1119574510VgnVCM2000001f4a900aRCRD,Programación cultural en Virgen de Begoña (Fuencarral - El Pardo),Parque Begoña,40.48390626699566,-3.687220746230517,Itinerarios Otras Actividades Ambientales
10114826,Crece 2016: The party must go on,0,1473890400,1474235940,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=af593173b2b26510VgnVCM2000001f4a900aRCRD,Crece 2016: The party must go on,Teatro Circo Price,40.40596423138839,-3.698601359753866,Circo Performance Teatro/ Circo Magia
10083921,Cuentacuentos en la Biblioteca Pública Municipal Mario Vargas Llosa,1,1476655200,1476741540,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f59673df9b515510VgnVCM1000001d4a900aRCRD,Cuentacuentos en la Biblioteca Pública Municipal Mario Vargas Llosa,Biblioteca Pública Municipal Mario Vargas Llosa (Centro),40.426642215368176,-3.699722994908341,Cuentacuentos Titeres Marionetas
7991079,Curso de mecánica básica para bicicletas,0,1386111600,1473976740,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5ea3de53f22cc410VgnVCM2000000c205a0aRCRD,Curso de mecánica básica para bicicletas,Matadero Madrid,40.39241367848808,-3.697259467865366,Cursos Talleres
7809872,Danzas urbanas,1,1473804000,1475099940,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2e49a3c32d16a410VgnVCM1000000b205a0aRCRD,Actividades en el centro juvenil 'El Aleph' (Villa de Vallecas). Septiembre 2016,Centro Juvenil El Aleph (Villa de Vallecas),40.38257934400676,-3.6054546139177392,Danza Baile
10076974,David Mocha. 'El Paraíso',1,1464732000,1474235940,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a2c5a015b21f4510VgnVCM2000001f4a900aRCRD,David Mocha. 'El Paraíso',CentroCentro Cibeles de Cultura y Ciudadanía,40.419011767401095,-3.692206111679657,Programacion Destacada Agenda Cultura
10095392,Del revés,1,1470434400,1470520740,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fe57df17d5e55510VgnVCM2000001f4a900aRCRD,Cine de verano. San Blas,Centro Cultural Auditorio Parque El Paraíso (San Blas - Canillejas),40.42996840999023,-3.622184001035289,Cine Actividades Audiovisuales
10107752,Domingos. Cine mudo con música en directo,0,1468274400,1474235940,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e3464f606ced5510VgnVCM2000001f4a900aRCRD,Cine Garden Conde Duque,Centro Conde Duque,40.42802889001877,-3.710182353581842,Cine Actividades Audiovisuales
10107556,Donde viven los monstruos,1,1472335200,1472421540,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7271fbb8a0ed5510VgnVCM1000001d4a900aRCRD,Espectáculos infantiles en el Auditorio El Calero,Auditorio al aire libre. Parque del Calero,40.43629048801827,-3.6504213176387332,Circo Performance Teatro
10102664,El apóstata,0,1472508000,1472594340,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ae61caf6265a5510VgnVCM2000001f4a900aRCRD,Cine de verano 2016. XX Festival de Ciudad Lineal,Auditorio al aire libre. Parque del Calero,40.43629048801827,-3.6504213176387332,Cine Actividades Audiovisuales
10095536,El capital humano,1,1470952800,1471039140,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9dd1f33dadc65510VgnVCM2000001f4a900aRCRD,Cine de verano. San Blas,Centro Cultural Auditorio Parque El Paraíso (San Blas - Canillejas),40.42996840999023,-3.622184001035289,Cine Actividades Audiovisuales
10107166,El caso de Fritz Bauer,0,1471903200,1471989540,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=722a515cd39d5510VgnVCM1000001d4a900aRCRD,Cine de verano 2016. XX Festival de Ciudad Lineal,Auditorio al aire libre. Parque del Calero,40.43629048801827,-3.6504213176387332,Cine Actividades Audiovisuales
10116709,El caso Montenegro,1,1475186400,1475272740,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=249dafbd38546510VgnVCM2000001f4a900aRCRD,Actividades. Centro Cultural Hortaleza. Septiembre 2016,Centro Cultural Hortaleza,40.476859845869534,-3.6420353342333227,Circo Performance Teatro
