identificador,titulo,accesible,url,direccion,BARRIO,lat,lng,tipo
7497459,OAC. Policía Municipal. Unidad Integral de Distrito Arganzuela,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6a8b1a9ba8736410VgnVCM1000000b205a0aRCRD,"PASEO CHOPERA, 2",CHOPERA,40.39612047546934,-3.702541299775232,Oficinas Policia Municipal
6322839,OAC. Policía Municipal. Unidad Integral de Distrito Fuencarral - El Pardo,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fc30de294e585310VgnVCM2000000c205a0aRCRD,"AVENIDA SOTO PALACIOS, 2",VALVERDE,40.48799779953855,-3.6839350432489524,Oficinas Policia Municipal
6913389,OAC. Policía Municipal. Unidad Integral de Distrito Barajas,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=dfb54fd0f603e310VgnVCM1000000b205a0aRCRD,"CALLE TRESPADERNE, 16",AEROPUERTO,40.45259668427249,-3.5811044713320173,Oficinas Policia Municipal
6322837,OAC. Policía Municipal. Unidad Integral de Distrito Carabanchel,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f3bfde294e585310VgnVCM2000000c205a0aRCRD,"CALLE ALBOX, 8",PUERTA BONITA,40.37447757037338,-3.7447818443986804,Oficinas Policia Municipal
6322846,OAC. Policía Municipal. Unidad Integral de Distrito Centro - Norte,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7fe1de294e585310VgnVCM2000000c205a0aRCRD,"PLAZA SANTA MARIA SOLEDAD TORRES ACOSTA, 2",UNIVERSIDAD,40.4214535549175,-3.705563118253955,Oficinas Policia Municipal
6322861,OAC. Policía Municipal. Unidad Integral de Distrito Centro - Sur,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=55b5de294e585310VgnVCM2000000c205a0aRCRD,"CALLE MONTERA, 16",SOL,40.41782271283005,-3.7026373363773,Oficinas Policia Municipal
6322843,OAC. Policía Municipal. Unidad Integral de Distrito Chamartín,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4a51de294e585310VgnVCM2000000c205a0aRCRD,"CALLE PRINCIPE DE VERGARA, 142",CIUDAD JARDIN,40.44489723228663,-3.6780972922453685,Oficinas Policia Municipal
6322855,OAC. Policía Municipal. Unidad Integral de Distrito Chamberí,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a814de294e585310VgnVCM2000000c205a0aRCRD,"CALLE RAIMUNDO FERNANDEZ VILLAVERDE, 8",RIOS ROSAS,40.44658783768792,-3.7027481328112994,Oficinas Policia Municipal
6322838,OAC. Policía Municipal. Unidad Integral de Distrito Ciudad Lineal,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f8ffde294e585310VgnVCM2000000c205a0aRCRD,"CALLE JOSE ARCONES GIL, 17",PUEBLO NUEVO,40.43463675619067,-3.6384030576589517,Oficinas Policia Municipal
6322850,OAC. Policía Municipal. Unidad Integral de Distrito Hortaleza,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=93d2de294e585310VgnVCM2000000c205a0aRCRD,"CALLE AREQUIPA, 2",CANILLAS,40.46893210570389,-3.642007014477437,Oficinas Policia Municipal
