identificador,titulo,accesible,url,direccion,BARRIO,lat,lng,tipo
12357,Parque de Bomberos 10. Villaverde,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=163e72081661c010VgnVCM1000000b205a0aRCRD,"CALLE SAN NORBERTO, 54",SAN ANDRES,40.33986735099649,-3.70700829179349,Parques Bomberos
12356,Parque de Bomberos 11. Hortaleza,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6c5e72081661c010VgnVCM1000000b205a0aRCRD,"CALLE MESENA, 146",APOSTOL SANTIAGO,40.47409889540651,-3.665083966588485,Parques Bomberos
12358,Parque de Bomberos 12. Latina,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b28e72081661c010VgnVCM1000000b205a0aRCRD,"AVENIDA POBLADOS, 48",LAS AGUILAS,40.38798474057904,-3.7650894764871374,Parques Bomberos
12350,Parque de Bomberos 1. Chamberí,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=cf0e72081661c010VgnVCM1000000b205a0aRCRD,"CALLE SANTA ENGRACIA, 118",RIOS ROSAS,40.44022117656201,-3.7008188436972183,Parques Bomberos
12349,Parque de Bomberos 2. Salamanca,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=09ae72081661c010VgnVCM1000000b205a0aRCRD,"CALLE RUFINO BLANCO, 2",FUENTE DEL BERRO,40.42851068346943,-3.667110358891228,Parques Bomberos
12347,Parque de Bomberos 3. Centro,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5fce72081661c010VgnVCM1000000b205a0aRCRD,"RONDA SEGOVIA, 95",PALACIO,40.406979862465434,-3.7122827517211396,Parques Bomberos
12354,Parque de Bomberos 4. Tetuán,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a5fe72081661c010VgnVCM1000000b205a0aRCRD,"CALLE EMILIA, 40",ALMENARA,40.47073638501196,-3.696051732686216,Parques Bomberos
12353,Parque de Bomberos 5. Usera,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fb1f72081661c010VgnVCM1000000b205a0aRCRD,"PASEO SANTA MARIA DE LA CABEZA, 95",MOSCARDO,40.3920312875048,-3.706823031743194,Parques Bomberos
12348,Parque de Bomberos 6. Centro,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=424f72081661c010VgnVCM1000000b205a0aRCRD,"CALLE IMPERIAL, 8",SOL,40.41471443912206,-3.7070956971378055,Parques Bomberos
12352,Parque de Bomberos 7. San Blas,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=986f72081661c010VgnVCM1000000b205a0aRCRD,"AVENIDA HELLIN, 52",AMPOSTA,40.42832883917418,-3.6154373664644375,Parques Bomberos
12355,Parque de Bomberos 8. Puente de Vallecas,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ee8f72081661c010VgnVCM1000000b205a0aRCRD,"CALLE PIO FELIPE, 24",NUMANCIA,40.39461731837056,-3.6531308970881393,Parques Bomberos
12351,Parque de Bomberos 9. Fuencarral - El Pardo,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=35bf72081661c010VgnVCM1000000b205a0aRCRD,"AVENIDA MONFORTE DE LEMOS, 20",LA PAZ,40.48008388609038,-3.699664083422411,Parques Bomberos
