identificador,titulo,accesible,url,direccion,BARRIO,lat,lng,tipo
139451,Auditorio y sala de exposiciones Paco de Lucía (antigua Sala Latinarte),1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6089ba61e681c010VgnVCM1000000b205a0aRCRD,"AVENIDA GENERAL FANJUL, 2A",LAS AGUILAS,40.38493634769686,-3.764230286224537,Centros Culturales
1956,Casa de América,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=10f979262ef5d010VgnVCM1000000b205a0aRCRD,"PLAZA CIBELES, 4",RECOLETOS,40.41975904857138,-3.692284495888486,Consorcios
4605237,Centro Casa Asia - Madrid,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1baf0c4d68263110VgnVCM2000000c205a0aRCRD,"CALLE MAYOR, 69",PALACIO,40.41531064853993,-3.7112390711768444,Centros Culturales
1916,Centro Conde Duque,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=64463d0b5e71c010VgnVCM1000000b205a0aRCRD,"CALLE CONDE DUQUE, 11",UNIVERSIDAD,40.42802889001877,-3.710182353581842,Monumentos Edificios Artisticos
1914,Centro Cultural - Centro Socio Cultural Villa de Barajas,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=476c1e79ee71c010VgnVCM1000000b205a0aRCRD,"CALLE BOTICA, 10",CASCO H.BARAJAS,40.473402418562216,-3.5785233191070316,Centros Culturales
117288,Centro Cultural Agustín Díaz (Moncloa - Aravaca),1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2d07cbf06c81c010VgnVCM1000000b205a0aRCRD,"PASEO COMANDANTE FORTEA, 42",CASA DE CAMPO,40.427538776051804,-3.732422725110936,Centros Culturales
118067,Centro Cultural Alfredo Kraus (Fuencarral - El Pardo),1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7337cbf06c81c010VgnVCM1000000b205a0aRCRD,"GLORIETA PRADERA DE VAQUERIZAS, 9",MIRASIERRA,40.49082275610172,-3.7216054330053647,Centros Culturales
1990,Centro Cultural Almirante Churruca (Latina),1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=76c43d0b5e71c010VgnVCM1000000b205a0aRCRD,"CALLE FUENTE DEL TIRO, 72",LAS AGUILAS,40.3829835905706,-3.7800890564106613,Centros Culturales
1942,Centro Cultural Antonio Machado (San Blas - Canillejas),1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=cce43d0b5e71c010VgnVCM1000000b205a0aRCRD,"CALLE SAN ROMÁN DEL VALLE, 8",ARCOS,40.42027705095574,-3.621741078700336,Centros Culturales
1919,Centro Cultural Aravaca (Moncloa - Aravaca),1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=13153d0b5e71c010VgnVCM1000000b205a0aRCRD,"CALLE ZARZA, 20",ARAVACA,40.45843103553325,-3.785855667139094,Centros Culturales
