identificador,titulo,accesible,url,direccion,BARRIO,lat,lng,tipo
167133,Bosque del Recuerdo,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4b6aae7cb2e4f010VgnVCM1000000b205a0aRCRD,"CALLE ALFONSO XII, 48",LOS JERONIMOS,40.412408966986206,-3.689050463043604,Parques Jardines
6070995,Jardines Gregorio Ordóñez,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2fba3c8f758ff210VgnVCM2000000c205a0aRCRD,"CALLE PRINCIPE DE VERGARA, 68",LISTA,40.43346186779773,-3.6785954778654113,Parques Jardines
5964519,"Jardines calles Raimundo Fernández Villaverde, Ponzano y Maudes",0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a1c51eadb333e210VgnVCM2000000c205a0aRCRD,"CALLE RAIMUNDO FERNANDEZ VILLAVERDE, 32",RIOS ROSAS,40.44613326792272,-3.6989699295578347,Parques Jardines
10090688,Jardines de Pablo Sorozábal,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b53d8464dad45510VgnVCM1000001d4a900aRCRD,"CALLE PRINCIPE DE VERGARA, 139",EL VISO,40.444623864292,-3.678625177573984,Parques Jardines
5965620,Jardines de Perón,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=73f370530083e210VgnVCM1000000b205a0aRCRD,"AVENIDA GENERAL PERON, 21",CUATRO CAMINOS,40.45257591499544,-3.6957817548357257,Parques Jardines
6010175,Jardines de Sabatini,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=20baf389ed2ee210VgnVCM1000000b205a0aRCRD,"CALLE BAILEN, 2",PALACIO,40.419911287101144,-3.713185308888602,Parques Jardines
5965246,Jardines de San Fernando,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9e6e121dcd33e210VgnVCM1000000b205a0aRCRD,"AVENIDA ALBERTO ALCOCER, 9",NUEVA ESPAÑA,40.45978849094378,-3.687352342212426,Parques Jardines
5965967,Jardines de la Basílica,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=58df433bf683e210VgnVCM1000000b205a0aRCRD,"CALLE BASILICA, 15",CUATRO CAMINOS,40.44903638127448,-3.695615530710886,Parques Jardines
5965719,Jardines de la Organización Mundial del Turismo,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d398680e2383e210VgnVCM1000000b205a0aRCRD,"AVENIDA BRASIL, 31",CASTILLEJOS,40.458706953002235,-3.6934625569379387,Parques Jardines
5964911,Jardines de la Plaza Conde del Valle de Suchil,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7c3042197833e210VgnVCM2000000c205a0aRCRD,"CALLE RODRIGUEZ SAN PEDRO, 3, B",ARAPILES,40.43137597367309,-3.7064685006782208,Parques Jardines
5963489,Jardines de la Plaza de Chamberí,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d3d6ee4002e2e210VgnVCM2000000c205a0aRCRD,"PLAZA CHAMBERI, 1",ALMAGRO,40.43285328749453,-3.697594475998512,Parques Jardines
5963151,Jardines de la Plaza de Olavide,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=091b882aacd2e210VgnVCM2000000c205a0aRCRD,"PLAZA OLAVIDE, 16",TRAFALGAR,40.43247362678542,-3.7007855621824293,Parques Jardines
6010975,"Jardines de la Plaza de Oriente, Lepanto y Cabo Noval",0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5089e51ecd6ee210VgnVCM2000000c205a0aRCRD,"CALLE BAILEN, 17",PALACIO,40.41835486065351,-3.712838830603048,Parques Jardines
6067949,Jardines de la Plaza de la Villa de París,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1e069432ff3ef210VgnVCM2000000c205a0aRCRD,"CALLE GENERAL CASTAÑOS, 6",JUSTICIA,40.42620255233654,-3.6934468983675846,Parques Jardines
5990847,Jardines de la calle Teresita González Quevedo,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5a4e4eff905ae210VgnVCM2000000c205a0aRCRD,"PLAZA SAN AMARO, 4",CUATRO CAMINOS,40.45558642017734,-3.6970275649098454,Parques Jardines
6011090,Jardines de las Vistillas,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ff7261226f6ee210VgnVCM1000000b205a0aRCRD,"CALLE MORERIA, 12",PALACIO,40.41281392212301,-3.7143597156687056,Parques Jardines
6011574,Jardines del Arquitecto Ribera,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7c696da6957ee210VgnVCM1000000b205a0aRCRD,"CALLE BARCELO, 2",JUSTICIA,40.42640449792336,-3.7002981748621955,Parques Jardines
94391,Jardines del Campo del Moro,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=bb3a34c0e2c5f010VgnVCM2000000c205a0aRCRD,"PASEO VIRGEN DEL PUERTO, 0",PALACIO,40.41898630733354,-3.719976836914711,Monumentos Edificios Artisticos
6010463,Jardines del Descubrimiento,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=185afce3b03ee210VgnVCM2000000c205a0aRCRD,"CALLE GOYA, 2",RECOLETOS,40.42518540300912,-3.6887800207651495,Parques Jardines
6076087,Jardines del Doctor Fleming,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b8a6a4e95e700310VgnVCM2000000c205a0aRCRD,"CALLE DOCTOR FLEMING, 1",HISPANOAMERICA,40.45454215758879,-3.6893863385035783,Parques Jardines
5965543,Jardines del Mundial. Castellana,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f87202f3ad73e210VgnVCM2000000c205a0aRCRD,"PASEO CASTELLANA, 142, B",HISPANOAMERICA,40.4530917282714,-3.6893833082867062,Parques Jardines
6011769,Jardines del Príncipe de Anglona,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8019ed1da87ee210VgnVCM1000000b205a0aRCRD,"PLAZA PAJA, 6",PALACIO,40.413417349090764,-3.711466649831885,Parques Jardines
